,Lat,Long,Date,RawType,Type,Source
0,-3.94,-21.2,11/20/1969 22:17,12 LM,Artifical Impacts,gagnepian_2006_catalog
1,-2.75,-27.86,4/15/1970 2:09,13 S-IVB,Artifical Impacts,gagnepian_2006_catalog
2,-8.09,-26.02,2/4/1971 7:40,14 S-IVB,Artifical Impacts,gagnepian_2006_catalog
3,-3.42,-19.67,2/7/1971 0:45,14 LM,Artifical Impacts,gagnepian_2006_catalog
4,-1.51,-11.81,7/29/1971 20:58,15 S-IVB,Artifical Impacts,gagnepian_2006_catalog
5,26.36,0.25,8/3/1971 3:03,15 LM,Artifical Impacts,gagnepian_2006_catalog
6,-4.21,-12.31,12/10/1972 20:32,17 S-IVB,Artifical Impacts,gagnepian_2006_catalog
7,1.2,-16.49,5/13/1972 8:46,M,Meteorite,gagnepian_2006_catalog
8,23.42,7.23,7/31/1972 18:08,M,Meteorite,gagnepian_2006_catalog
9,15.19,20.57,8/29/1972 22:58,M,Meteorite,gagnepian_2006_catalog
10,-17.94,-20.74,12/24/1973 10:03,M,Meteorite,gagnepian_2006_catalog
11,20.35,6.49,7/17/1974 12:05,M,Meteorite,gagnepian_2006_catalog
12,-8.88,21.73,11/21/1974 13:15,M,Meteorite,gagnepian_2006_catalog
13,2.44,-8.07,12/15/1974 9:07,M,Meteorite,gagnepian_2006_catalog
14,-49.93,3.42,3/5/1975 21:49,M,Meteorite,gagnepian_2006_catalog
15,-14.33,-8.95,5/28/1976 6:02,M,Meteorite,gagnepian_2006_catalog
16,70.76,2.71,1/4/1972 6:31,M,Meteorite,gagnepian_2006_catalog
17,28.16,37.94,9/26/1973 20:46,M,Meteorite,gagnepian_2006_catalog
18,7.64,-34.55,4/19/1974 18:29,M,Meteorite,gagnepian_2006_catalog
19,3.14,41.61,4/12/1975 18:12,M,Meteorite,gagnepian_2006_catalog
20,-38.17,59.78,1/13/1976 7:11,M,Meteorite,gagnepian_2006_catalog
21,-18.5,-59.98,4/17/1977 23:32,M,Meteorite,gagnepian_2006_catalog
22,-9.82,-73.54,6/28/1977 22:22,M,Meteorite,gagnepian_2006_catalog
23,-36.4,-121.3,5/4/1975 9:59,M,Meteorite,gagnepian_2006_catalog
24,21.54,-85.07,11/14/1976 23:12,M,Meteorite,gagnepian_2006_catalog
25,33.14,137.69,9/30/1973 4:11,M,Meteorite,gagnepian_2006_catalog
26,-16.15,-24.62,2/13/1975 22:03,SH,Shallow Moonquake,gagnepian_2006_catalog
27,11.99,49.33,9/17/1972 14:35,SH,Shallow Moonquake,gagnepian_2006_catalog
28,45.84,36.81,12/6/1972 23:08,SH,Shallow Moonquake,gagnepian_2006_catalog
29,64.83,56.25,1/12/1975 3:14,SH,Shallow Moonquake,gagnepian_2006_catalog
30,42.28,32.12,1/4/1976 11:19,SH,Shallow Moonquake,gagnepian_2006_catalog
31,50.23,-24.76,3/6/1976 10:12,SH,Shallow Moonquake,gagnepian_2006_catalog
32,25.01,87.09,7/11/1974 0:46,SH,Shallow Moonquake,gagnepian_2006_catalog
33,27.41,-90.57,1/3/1975 1:42,SH,Shallow Moonquake,gagnepian_2006_catalog
34,-15.27,-34.04,9/30/1973 4:10,A01,Deep Moonquake,gagnepian_2006_catalog
35,47.22,47.57,7/2/1976 10:52,A06,Deep Moonquake,gagnepian_2006_catalog
36,22.94,48.41,7/2/1976 3:11,A07,Deep Moonquake,gagnepian_2006_catalog
37,-28,-28.1,5/16/1977 10:52,A08,Deep Moonquake,gagnepian_2006_catalog
38,-37.8,-30.8,4/16/1977 19:58,A09,Deep Moonquake,gagnepian_2006_catalog
39,8.83,15.75,6/18/1977 5:01,A11,Deep Moonquake,gagnepian_2006_catalog
40,-25.82,-30.48,5/28/1973 18:53,A14,Deep Moonquake,gagnepian_2006_catalog
41,6.66,4.06,10/8/1972 15:24,A16,Deep Moonquake,gagnepian_2006_catalog
42,21.56,-16.27,11/7/1972 8:52,A17,Deep Moonquake,gagnepian_2006_catalog
43,17.54,31.01,1/5/1973 22:50,A18,Deep Moonquake,gagnepian_2006_catalog
44,20.46,-34.84,5/15/1972 17:18,A20,Deep Moonquake,gagnepian_2006_catalog
45,-32.89,-34.32,6/12/1977 18:17,A24,Deep Moonquake,gagnepian_2006_catalog
46,33.31,53.67,6/9/1977 20:15,A25,Deep Moonquake,gagnepian_2006_catalog
47,20.12,16.21,5/16/1977 0:01,A27,Deep Moonquake,gagnepian_2006_catalog
48,11.22,-30.38,5/17/1972 0:42,A30,Deep Moonquake,gagnepian_2006_catalog
49,7.71,113.03,10/11/1972 19:35,A33,Deep Moonquake,gagnepian_2006_catalog
50,6.99,-8.42,6/14/1972 18:34,A34,Deep Moonquake,gagnepian_2006_catalog
51,-0.9,-10.32,6/27/1973 23:48,A40,Deep Moonquake,gagnepian_2006_catalog
52,12.7,-23.1,6/8/1972 16:16,A41,Deep Moonquake,gagnepian_2006_catalog
53,12.7,-23.1,5/3/1973 1:52,A42,Deep Moonquake,gagnepian_2006_catalog
54,48.74,49.17,5/19/1974 3:09,A44,Deep Moonquake,gagnepian_2006_catalog
55,9.36,-47.41,4/30/1973 1:05,A50,Deep Moonquake,gagnepian_2006_catalog
56,8.63,14.42,2/18/1974 8:35,A51,Deep Moonquake,gagnepian_2006_catalog
57,-2.36,16.39,5/19/1977 6:08,A97,Deep Moonquake,gagnepian_2006_catalog
58,-3.94,-21.2,11/20/1969 22:17,12 LM,Artifical Impacts,lognonne_2003_catalog
59,-2.75,-27.86,4/15/1970 2:09,13 S-IVB,Artifical Impacts,lognonne_2003_catalog
60,-8.09,-26.02,2/4/1971 7:40,14 S-IVB,Artifical Impacts,lognonne_2003_catalog
61,-3.42,-19.67,2/7/1971 0:45,14 LM,Artifical Impacts,lognonne_2003_catalog
62,-1.51,-11.81,7/29/1971 20:58,15 S-IVB,Artifical Impacts,lognonne_2003_catalog
63,26.36,0.25,8/3/1971 3:03,15 LM,Artifical Impacts,lognonne_2003_catalog
64,1.3,-23.8,4/19/1972 21:02,16 S-IVB,Artifical Impacts,lognonne_2003_catalog
65,-4.21,-12.31,12/10/1972 20:32,17 S-IVB,Artifical Impacts,lognonne_2003_catalog
66,74.1,2.6,1/4/1972 6:31,M,Meteorite,lognonne_2003_catalog
67,1.5,-17.1,5/13/1972 8:45,M,Meteorite,lognonne_2003_catalog
68,32.8,137.6,7/17/1972 21:50,M,Meteorite,lognonne_2003_catalog
69,24,10.1,7/31/1972 18:08,M,Meteorite,lognonne_2003_catalog
70,15.8,22.9,8/29/1972 22:58,M,Meteorite,lognonne_2003_catalog
71,28.7,41.1,9/26/1973 20:46,M,Meteorite,lognonne_2003_catalog
72,-24.8,-25.1,12/24/1973 10:03,M,Meteorite,lognonne_2003_catalog
73,7.4,-33.6,4/19/1974 18:30,M,Meteorite,lognonne_2003_catalog
74,20.3,6.5,7/17/1974 12:05,M,Meteorite,lognonne_2003_catalog
75,-7.3,19.9,11/21/1974 13:15,M,Meteorite,lognonne_2003_catalog
76,1.6,-8.2,12/15/1974 9:07,M,Meteorite,lognonne_2003_catalog
